,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
1,53.0,3.0,3018.0,"[160.0, 302.0]",0.7288224,148.62,1.0,3696.0,"[163.0, 302.0]","[42.0, 88.0]"
2,53.0,3.0,1885.0,"[247.0, 248.0]",0.95639515,164.85,2.0,2680.0,"[248.0, 251.0]","[40.0, 67.0]"
0,54.0,3.0,684.0,"[305.0, 201.0]",0.89127594,172.59,5.0,858.0,"[306.0, 202.0]","[26.0, 33.0]"
1,54.0,3.0,7372.0,"[153.0, 318.0]",0.7241207,145.16,1.0,6901.0,"[156.0, 313.0]","[67.0, 103.0]"
2,54.0,3.0,1329.0,"[247.0, 252.0]",0.8975662,164.68,2.0,2268.0,"[249.0, 255.0]","[36.0, 63.0]"
0,55.0,4.0,763.0,"[304.0, 200.0]",0.846083,172.11,5.0,1008.0,"[306.0, 201.0]","[28.0, 36.0]"
1,55.0,4.0,8348.0,"[157.0, 322.0]",0.5935207,145.21,1.0,8316.0,"[156.0, 321.0]","[77.0, 108.0]"
2,55.0,4.0,1653.0,"[246.0, 251.0]",0.9173238,164.47,2.0,2480.0,"[247.0, 255.0]","[40.0, 62.0]"
3,55.0,4.0,11896.0,"[158.0, 316.0]",0.6443973,148.34,37.0,16320.0,"[162.0, 325.0]","[96.0, 170.0]"
0,56.0,4.0,521.0,"[305.0, 203.0]",0.81742376,173.55,5.0,775.0,"[305.0, 204.0]","[25.0, 31.0]"
1,56.0,4.0,5830.0,"[159.0, 298.0]",0.8192037,150.35,1.0,9130.0,"[155.0, 304.0]","[83.0, 110.0]"
2,56.0,4.0,1550.0,"[248.0, 251.0]",0.956166,164.73,2.0,2440.0,"[248.0, 256.0]","[40.0, 61.0]"
3,56.0,4.0,5538.0,"[162.0, 289.0]",0.6937196,153.21,37.0,9576.0,"[165.0, 293.0]","[72.0, 133.0]"
0,57.0,4.0,786.0,"[304.0, 198.0]",0.8357836,171.52,5.0,925.0,"[304.0, 201.0]","[25.0, 37.0]"
1,57.0,4.0,5627.0,"[159.0, 306.0]",0.6267542,148.76,1.0,7881.0,"[158.0, 305.0]","[71.0, 111.0]"
2,57.0,4.0,1155.0,"[249.0, 252.0]",0.8581807,165.25,2.0,1860.0,"[250.0, 257.0]","[31.0, 60.0]"
3,57.0,4.0,4725.0,"[160.0, 297.0]",0.28250092,150.72,37.0,5724.0,"[161.0, 291.0]","[53.0, 108.0]"
0,58.0,3.0,737.0,"[305.0, 199.0]",0.8311246,172.28,5.0,999.0,"[306.0, 200.0]","[27.0, 37.0]"
